Symbol,AtomicNumber,Name,AtomicMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered,MeltingPointC,BoilingPointC,BoilingPointF,MeltingPointF
H,1,Hydrogen,1.008,FFFFFF,1s1,2.2,120.0,13.598,0.754,"+1, -1",Gas,13.81,20.28,8.988e-05,Nonmetal,1766,-259.34,-252.86999999999998,-423.16599999999994,-434.81199999999995
He,2,Helium,4.0026,D9FFFF,1s2,,140.0,24.587,,0,Gas,0.95,4.22,0.0001785,Noble gas,1868,-272.2,-268.92999999999995,-452.0739999999999,-457.96
Li,3,Lithium,7.0,CC80FF,[He]2s1,0.98,182.0,5.392,0.618,+1,Solid,453.65,1615.0,0.534,Alkali metal,1817,180.5,1341.85,2447.33,356.90000000000003
Be,4,Beryllium,9.012183,C2FF00,[He]2s2,1.57,153.0,9.323,,+2,Solid,1560.0,2744.0,1.85,Alkaline earth metal,1798,1286.85,2470.85,4479.53,2348.33
B,5,Boron,10.81,FFB5B5,[He]2s2 2p1,2.04,192.0,8.298,0.277,+3,Solid,2348.0,4273.0,2.37,Metalloid,1808,2074.85,3999.85,7231.73,3766.73
C,6,Carbon,12.011,909090,[He]2s2 2p2,2.55,170.0,11.26,1.263,"+4, +2, -4",Solid,3823.0,4098.0,2.267,Nonmetal,Ancient,3549.85,3824.85,6916.73,6421.73
N,7,Nitrogen,14.007,3050F8,[He] 2s2 2p3,3.04,155.0,14.534,,"+5, +4, +3, +2, +1, -1, -2, -3",Gas,63.15,77.36,0.0012506,Nonmetal,1772,-209.99999999999997,-195.78999999999996,-320.42199999999997,-345.99999999999994
O,8,Oxygen,15.999,FF0D0D,[He]2s2 2p4,3.44,152.0,13.618,1.461,-2,Gas,54.36,90.2,0.001429,Nonmetal,1774,-218.78999999999996,-182.95,-297.31,-361.82199999999995
F,9,Fluorine,18.99840316,90E050,[He]2s2 2p5,3.98,135.0,17.423,3.339,-1,Gas,53.53,85.03,0.001696,Halogen,1670,-219.61999999999998,-188.11999999999998,-306.616,-363.316
Ne,10,Neon,20.18,B3E3F5,[He]2s2 2p6,,154.0,21.565,,0,Gas,24.56,27.07,0.0008999,Noble gas,1898,-248.58999999999997,-246.07999999999998,-410.94399999999996,-415.462
Na,11,Sodium,22.9897693,AB5CF2,[Ne]3s1,0.93,227.0,5.139,0.548,+1,Solid,370.95,1156.0,0.97,Alkali metal,1807,97.80000000000001,882.85,1621.13,208.04000000000002
Mg,12,Magnesium,24.305,8AFF00,[Ne]3s2,1.31,173.0,7.646,,+2,Solid,923.0,1363.0,1.74,Alkaline earth metal,1808,649.85,1089.85,1993.7299999999998,1201.73
Al,13,Aluminum,26.981538,BFA6A6,[Ne]3s2 3p1,1.61,184.0,5.986,0.441,+3,Solid,933.437,2792.0,2.7,Post-transition metal,Ancient,660.287,2518.85,4565.93,1220.5166000000002
Si,14,Silicon,28.085,F0C8A0,[Ne]3s2 3p2,1.9,210.0,8.152,1.385,"+4, +2, -4",Solid,1687.0,3538.0,2.3296,Metalloid,1854,1413.85,3264.85,5908.73,2576.93
P,15,Phosphorus,30.973762,FF8000,[Ne]3s2 3p3,2.19,180.0,10.487,0.746,"+5, +3, -3",Solid,317.3,553.65,1.82,Nonmetal,1669,44.150000000000034,280.5,536.9000000000001,111.47000000000007
S,16,Sulfur,32.07,FFFF30,[Ne]3s2 3p4,2.58,180.0,10.36,2.077,"+6, +4, -2",Solid,388.36,717.75,2.067,Nonmetal,Ancient,115.21000000000004,444.6,832.2800000000001,239.37800000000007
Cl,17,Chlorine,35.45,1FF01F,[Ne]3s2 3p5,3.16,175.0,12.968,3.617,"+7, +5, +1, -1",Gas,171.65,239.11,0.003214,Halogen,1774,-101.49999999999997,-34.039999999999964,-29.271999999999935,-150.69999999999996
Ar,18,Argon,39.9,80D1E3,[Ne]3s2 3p6,,188.0,15.76,,0,Gas,83.8,87.3,0.0017837,Noble gas,1894,-189.34999999999997,-185.84999999999997,-302.53,-308.8299999999999
K,19,Potassium,39.098,8F40D4,[Ar]4s1,0.82,275.0,4.341,0.501,+1,Solid,336.53,1032.0,0.89,Alkali metal,1807,63.379999999999995,758.85,1397.93,146.084
Ca,20,Calcium,40.08,3DFF00,[Ar]4s2,1.0,231.0,6.113,,+2,Solid,1115.0,1757.0,1.54,Alkaline earth metal,Ancient,841.85,1483.85,2702.93,1547.3300000000002
Sc,21,Scandium,44.95591,E6E6E6,[Ar]4s2 3d1,1.36,211.0,6.561,0.188,+3,Solid,1814.0,3109.0,2.99,Transition metal,1879,1540.85,2835.85,5136.53,2805.5299999999997
Ti,22,Titanium,47.87,BFC2C7,[Ar]4s2 3d2,1.54,187.0,6.828,0.079,"+4, +3, +2",Solid,1941.0,3560.0,4.5,Transition metal,1791,1667.85,3286.85,5948.33,3034.13
V,23,Vanadium,50.941,A6A6AB,[Ar]4s2 3d3,1.63,179.0,6.746,0.525,"+5, +4, +3, +2",Solid,2183.0,3680.0,6.0,Transition metal,1801,1909.85,3406.85,6164.33,3469.73
Cr,24,Chromium,51.996,8A99C7,[Ar]3d5 4s1,1.66,189.0,6.767,0.666,"+6, +3, +2",Solid,2180.0,2944.0,7.15,Transition metal,1797,1906.85,2670.85,4839.53,3464.33
Mn,25,Manganese,54.93804,9C7AC7,[Ar]4s2 3d5,1.55,197.0,7.434,,"+7, +4, +3, +2",Solid,1519.0,2334.0,7.3,Transition metal,1774,1245.85,2060.85,3741.5299999999997,2274.5299999999997
Fe,26,Iron,55.84,E06633,[Ar]4s2 3d6,1.83,194.0,7.902,0.163,"+3, +2",Solid,1811.0,3134.0,7.874,Transition metal,Ancient,1537.85,2860.85,5181.53,2800.13
Co,27,Cobalt,58.93319,F090A0,[Ar]4s2 3d7,1.88,192.0,7.881,0.661,"+3, +2",Solid,1768.0,3200.0,8.86,Transition metal,1735,1494.85,2926.85,5300.33,2722.73
Ni,28,Nickel,58.693,50D050,[Ar]4s2 3d8,1.91,163.0,7.64,1.156,"+3, +2",Solid,1728.0,3186.0,8.912,Transition metal,1751,1454.85,2912.85,5275.13,2650.73
Cu,29,Copper,63.55,C88033,[Ar]4s1 3d10,1.9,140.0,7.726,1.228,"+2, +1",Solid,1357.77,2835.0,8.933,Transition metal,Ancient,1084.62,2561.85,4643.33,1984.3159999999998
Zn,30,Zinc,65.4,7D80B0,[Ar]4s2 3d10,1.65,139.0,9.394,,+2,Solid,692.68,1180.0,7.134,Transition metal,1746,419.53,906.85,1664.3300000000002,787.154
